"collectionCode","catalogNumber","order","standardOrder","authority","Genus","standardGenus","family","standardFamily"
"Mammals","2112010071","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","17277","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13503","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","18161","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","14956","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","18148","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","18189","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","18163","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","14957","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","18150","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","18155","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","77046","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","2209250016","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","18160","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","22681","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","18181","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","76745","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","2203140022","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","2203140021","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","83812","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","83813","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","83814","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","83815","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","18156","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","2112010075","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","2209250014","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","2112010072","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","2112010090","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","2112010078","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","10753","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","76772","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","76771","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","3610140001","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","18142","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","2112010076","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","18136","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","2204240028","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","2112010074","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","2112010073","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","76878","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","18177","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","17288","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","3510190006","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","3510190005","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","2209250015","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","2112010077","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","81141","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","24046","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","22364","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","10767","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","28312","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","28310","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","17301","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","22341","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","2909090354","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
