"collectionCode","catalogNumber","verbatimContinent","Continent","verbatimWaterBody","Waterbody"
"Mammals","70612","Australia","Australasia",,
"Mammals","70613","Australia","Australasia",,
"Mammals","53698","Australia","Australasia",,
"Mammals","9111010187","Australia","Australasia",,
"Mammals","9111010179","Australia","Australasia",,
"Mammals","58401","Australia","Australasia",,
"Mammals","58403","Australia","Australasia",,
"Mammals","102788","Australia","Australasia",,
"Mammals","58402","Australia","Australasia",,
"Mammals","102785","Australia","Australasia",,
"Mammals","51138","Australia","Australasia",,
"Mammals","0011280019","Europe","North America",,
"Mammals","91239","North America","Oceania",,"North Pacific Ocean"
"Mammals","79793","North America","Oceania",,"North Pacific Ocean"
"Mammals","79794","North America","Oceania",,"North Pacific Ocean"
"Mammals","16903","Unknown",,,
"Mammals","3211150002","Unknown",,,
"Mammals","3211170020","Unknown",,,
"Mammals","111238","Unknown",,,
"Mammals","20175","Unknown",,,
"Mammals","25284","Unknown",,,
"Mammals","15544","Unknown",,,
"Mammals","3612020003","Unknown",,,
"Mammals","16420","Unknown",,,
"Mammals","111245","Unknown",,,
"Mammals","94050","Unknown",,,
"Mammals","94054","Unknown",,,
"Mammals","94055","Unknown",,,
"Mammals","94057","Unknown",,,
"Mammals","94048","Unknown",,,
"Mammals","8606010008","Unknown",,,
"Mammals","91954","Unknown",,,
"Mammals","94056","Unknown",,,
"Mammals","16889","Unknown",,,
"Mammals","2509100001","Unknown",,,
"Mammals","17591","Unknown",,,
"Mammals","15559","Unknown",,,
"Mammals","2802180001","Unknown",,,
"Mammals","94047","Unknown",,,
"Mammals","25287","Unknown",,,
"Mammals","19514","Unknown",,,
"Mammals","7506010003","Unknown",,,
"Mammals","2705020201","Unknown",,,
"Mammals","0011210012","Unknown",,,
"Mammals","21998","Unknown",,,
"Mammals","0102210001","Unknown",,,
"Mammals","1301150002","Unknown",,,
"Mammals","9110010025","Unknown",,,
"Mammals","2705020230","Unknown",,,
"Mammals","9012190007","Unknown",,,
"Mammals","3405090038","Unknown",,,
"Mammals","1604240001","Unknown",,,
"Mammals","2412310002","Unknown",,,
"Mammals","2412310001","Unknown",,,
"Mammals","83106","Unknown",,,
"Mammals","27569","Unknown",,,
"Mammals","3405090039","Unknown",,,
"Mammals","67619","Unknown",,,
"Mammals","3211080030","Unknown",,,
"Mammals","15553","Unknown",,,
"Mammals","2705020229","Unknown",,,
"Mammals","3205170002","Unknown",,,
"Mammals","94053","Unknown",,,
"Mammals","2703140001","Unknown",,,
"Mammals","2210160001","Unknown",,,
"Mammals","15546","Unknown",,,
"Mammals","3501230001","Unknown",,,
"Mammals","2705020305","Unknown",,,
"Mammals","119907","Unknown",,,
"Mammals","3211080033","Unknown",,,
"Mammals","2705020307","Unknown",,,
"Mammals","3106200001","Unknown",,,
"Mammals","3211080031","Unknown",,,
"Mammals","15551","Unknown",,,
"Mammals","111447","Unknown",,,
"Mammals","87910","Unknown",,,
"Mammals","0101300039","Unknown",,,
"Mammals","83103","Unknown",,,
"Mammals","14426","Unknown",,,
"Mammals","37265","Unknown",,,
"Mammals","111234","Unknown",,,
"Mammals","111248","Unknown",,,
"Mammals","3211080029","Unknown",,,
"Mammals","1011160009","Unknown",,,
"Mammals","83105","Unknown",,,
"Mammals","87307","Unknown",,,
"Mammals","111241","Unknown",,,
"Mammals","27631","Unknown",,,
"Mammals","3211080025","Unknown",,,
"Mammals","0011120007","Unknown",,,
"Mammals","83102","Unknown",,,
"Mammals","83104","Unknown",,,
"Mammals","2312080004","Unknown",,,
"Mammals","9110010016","Unknown",,,
"Mammals","91263","Unknown",,,
"Mammals","34137","Unknown",,,
"Mammals","3406030001","Unknown",,,
"Mammals","83107","Unknown",,,
"Mammals","8608240005","Unknown",,,
"Mammals","88923","Unknown",,,
"Mammals","3211080032","Unknown",,,
"Mammals","3211150003","Unknown",,,
"Mammals","2410140004","Unknown",,,
"Mammals","83101","Unknown",,,
"Mammals","102747","Unknown",,,
"Mammals","101755","Unknown",,,
"Mammals","3211080028","Unknown",,,
"Mammals","66883","Unknown",,,
"Mammals","102751","Unknown",,,
"Mammals","111235","Unknown",,,
"Mammals","96757","Unknown",,,
"Mammals","88093","Unknown",,,
"Mammals","102750","Unknown",,,
"Mammals","3211150001","Unknown",,,
"Mammals","102749","Unknown",,,
"Mammals","89628","Unknown",,,
"Mammals","94049","Unknown",,,
"Mammals","105846","Unknown",,,
"Mammals","106294","Unknown",,,
"Mammals","27632","Unknown",,,
"Mammals","94051","Unknown",,,
"Mammals","3211150004","Unknown",,,
"Mammals","27570","Unknown",,,
"Mammals","111240","Unknown",,,
"Mammals","87911","Unknown",,,
"Mammals","111242","Unknown",,,
"Mammals","111243","Unknown",,,
"Mammals","111244","Unknown",,,
"Mammals","102752","Unknown",,,
"Mammals","111247","Unknown",,,
"Mammals","94052","Unknown",,,
"Mammals","27579","Unknown",,,
"Mammals","27582","Unknown",,,
"Mammals","88092","Unknown",,,
"Mammals","106299","Unknown",,,
"Mammals","110424","Unknown",,,
"Mammals","102748","Unknown",,,
"Mammals","111246","Unknown",,,
"Mammals","22208","Unknown",,,
"Mammals","0102080008","Unknown",,,
"Mammals","1901070020","Unknown",,,
"Mammals","101732","Unknown",,,
"Mammals","1901070023","Unknown",,,
"Mammals","1805010014","Unknown",,,
"Mammals","1901070034","Unknown",,,
"Mammals","2612170047","Unknown",,,
"Mammals","27956","Unknown",,,
"Mammals","3405090037","Unknown",,,
"Mammals","3201120001","Unknown",,,
"Mammals","3108290003","Unknown",,,
"Mammals","3211300012","Unknown",,,
"Mammals","101578","Unknown",,,
"Mammals","3306200023","Unknown",,,
"Mammals","101707","Unknown",,,
"Mammals","77700","Unknown",,,
"Mammals","85747","Unknown",,,
"Mammals","79685","Unknown",,,
"Mammals","101603","Unknown",,,
"Mammals","0112130001","Unknown",,,
"Mammals","3009200082","Unknown",,,
"Mammals","0011210008","Unknown",,,
"Mammals","1201230499","Unknown",,,
