"collectionCode","catalogNumber","Genus","standardGenus","family","standardFamily","authority"
"Mammals","64298","ARVICOLA","Arvicola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","64289","ARVICOLA","Arvicola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","64297","ARVICOLA","Arvicola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","64287","ARVICOLA","Arvicola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","64290","ARVICOLA","Arvicola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","35383","ARVICOLA","Arvicola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","35380","ARVICOLA","Arvicola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","3609290026","ARVICOLA","Arvicola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","35382","ARVICOLA","Arvicola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","35379","ARVICOLA","Arvicola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","35378","ARVICOLA","Arvicola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","80690","ARVICOLA","Arvicola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","35384","ARVICOLA","Arvicola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","35377","ARVICOLA","Arvicola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","35381","ARVICOLA","Arvicola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","3609290020","ARVICOLA","Arvicola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","82808","ARVICOLA","Arvicola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","82803","ARVICOLA","Arvicola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","82807","ARVICOLA","Arvicola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","82574","ARVICOLA","Arvicola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","82806","ARVICOLA","Arvicola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","82802","ARVICOLA","Arvicola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","82805","ARVICOLA","Arvicola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","64303","ARVICOLA","Arvicola","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","62605","ASELLIA","Asellia","Hipposideridae","Rhinolophidae","ITIS"
"Mammals","77213","ASELLIA","Asellia","Hipposideridae","Rhinolophidae","ITIS"
"Mammals","85349","ASELLIA","Asellia","Hipposideridae","Rhinolophidae","ITIS"
"Mammals","54777","ASELLIA","Asellia","Hipposideridae","Rhinolophidae","ITIS"
"Mammals","77919","ASELLIA","Asellia","Hipposideridae","Rhinolophidae","ITIS"
"Mammals","54787","ASELLIA","Asellia","Hipposideridae","Rhinolophidae","ITIS"
"Mammals","54774","ASELLIA","Asellia","Hipposideridae","Rhinolophidae","ITIS"
"Mammals","54794","ASELLIA","Asellia","Hipposideridae","Rhinolophidae","ITIS"
"Mammals","54793","ASELLIA","Asellia","Hipposideridae","Rhinolophidae","ITIS"
"Mammals","54792","ASELLIA","Asellia","Hipposideridae","Rhinolophidae","ITIS"
"Mammals","54791","ASELLIA","Asellia","Hipposideridae","Rhinolophidae","ITIS"
"Mammals","54790","ASELLIA","Asellia","Hipposideridae","Rhinolophidae","ITIS"
"Mammals","54786","ASELLIA","Asellia","Hipposideridae","Rhinolophidae","ITIS"
"Mammals","54781","ASELLIA","Asellia","Hipposideridae","Rhinolophidae","ITIS"
"Mammals","68414","ASELLIA","Asellia","Hipposideridae","Rhinolophidae","ITIS"
"Mammals","54775","ASELLIA","Asellia","Hipposideridae","Rhinolophidae","ITIS"
"Mammals","65831","ASELLIA","Asellia","Hipposideridae","Rhinolophidae","ITIS"
"Mammals","54779","ASELLIA","Asellia","Hipposideridae","Rhinolophidae","ITIS"
"Mammals","54776","ASELLIA","Asellia","Hipposideridae","Rhinolophidae","ITIS"
"Mammals","54784","ASELLIA","Asellia","Hipposideridae","Rhinolophidae","ITIS"
"Mammals","54783","ASELLIA","Asellia","Hipposideridae","Rhinolophidae","ITIS"
"Mammals","54782","ASELLIA","Asellia","Hipposideridae","Rhinolophidae","ITIS"
"Mammals","54789","ASELLIA","Asellia","Hipposideridae","Rhinolophidae","ITIS"
"Mammals","54780","ASELLIA","Asellia","Hipposideridae","Rhinolophidae","ITIS"
"Mammals","54788","ASELLIA","Asellia","Hipposideridae","Rhinolophidae","ITIS"
"Mammals","54785","ASELLIA","Asellia","Hipposideridae","Rhinolophidae","ITIS"
"Mammals","112421","Aselliscus","Aselliscus","Hipposideridae","Rhinolophidae","ITIS"
"Mammals","57231","ATHERURUS","Atherurus","Hystricidae","Hystricognathi","ITIS"
"Mammals","100535","ATHERURUS","Atherurus","Hystricidae","Hystricognathi","ITIS"
"Mammals","31236","ATHERURUS","Atherurus","Hystricidae","Hystricognathi","ITIS"
"Mammals","31237","ATHERURUS","Atherurus","Hystricidae","Hystricognathi","ITIS"
"Mammals","8608040002","Avahi","Avahi","Indriidae","Indridae","ITIS"
"Mammals","97573","Baiomys","Baiomys","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","97616","Baiomys","Baiomys","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","97614","Baiomys","Baiomys","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","97640","Baiomys","Baiomys","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","97641","Baiomys","Baiomys","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","98242","Baiomys","Baiomys","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","98243","Baiomys","Baiomys","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","97547","Baiomys","Baiomys","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","97615","Baiomys","Baiomys","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","97548","Baiomys","Baiomys","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","97684","Baiomys","Baiomys","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","96110","Baiomys","Baiomys","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","24929","Baiomys","Baiomys","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","21086","Baiomys","Baiomys","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","9111010192","BETTONGIA","Bettongia","Macropodidae; Potoroidae","Potoroidae","ITIS"
"Mammals","9111010191","BETTONGIA","Bettongia","Macropodidae; Potoroidae","Potoroidae","ITIS"
"Mammals","93104","BETTONGIA","Bettongia","Macropodidae; Potoroidae","Potoroidae","ITIS"
"Mammals","111476","BETTONGIA","Bettongia","Macropodidae; Potoroidae","Potoroidae","ITIS"
"Mammals","94336","Blanfordimys","Blanfordimys","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","77573","BOLOMYS","Bolomys","Muridae; Cricetidae","Muridae","ITIS"
"Mammals","77575","BOLOMYS","Bolomys","Muridae; Cricetidae","Muridae","ITIS"
"Mammals","77572","BOLOMYS","Bolomys","Muridae; Cricetidae","Muridae","ITIS"
"Mammals","77574","BOLOMYS","Bolomys","Muridae; Cricetidae","Muridae","ITIS"
"Mammals","77571","BOLOMYS","Bolomys","Muridae; Cricetidae","Muridae","ITIS"
"Mammals","77576","CALOMYS","Calomys","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","77577","CALOMYS","Calomys","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","34239","Cannomys","Cannomys","Muridae; Spalacidae","Muridae","ITIS"
"Mammals","1002210002","Chionomys","Chionomys","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","0101300055","Chionomys","Chionomys","Muridae; Cricetidae","Cricetidae","Mammal Species of the World. 2005."
"Mammals","33956","Choloepus","Choloepus","Choloepidae; Megalonychidae","Megalonychidae","ITIS"
"Mammals","3609030017","Choloepus","Choloepus","Choloepidae; Megalonychidae","Megalonychidae","ITIS"
"Mammals","31160","Choloepus","Choloepus","Choloepidae; Megalonychidae","Megalonychidae","ITIS"
"Mammals","16068","Choloepus","Choloepus","Choloepidae; Megalonychidae","Megalonychidae","ITIS"
"Mammals","1012230003","Choloepus","Choloepus","Choloepidae; Megalonychidae","Megalonychidae","ITIS"
"Mammals","50668","Choloepus","Choloepus","Choloepidae; Megalonychidae","Megalonychidae","ITIS"
"Mammals","89635","Choloepus","Choloepus","Choloepidae; Megalonychidae","Megalonychidae","ITIS"
"Mammals","105737","Choloepus","Choloepus","Choloepidae; Megalonychidae","Megalonychidae","ITIS"
"Mammals","31987","Choloepus","Choloepus","Choloepidae; Megalonychidae","Megalonychidae","ITIS"
"Mammals","32232","Choloepus","Choloepus","Choloepidae; Megalonychidae","Megalonychidae","ITIS"
"Mammals","99947","Choloepus","Choloepus","Choloepidae; Megalonychidae","Megalonychidae","ITIS"
"Mammals","31424","Choloepus","Choloepus","Choloepidae; Megalonychidae","Megalonychidae","ITIS"
"Mammals","26170","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","26168","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","26167","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","26166","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","26193","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","26241","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","27454","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","74851","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","26249","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","26177","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","97348","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","23305","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","31252","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","31253","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","16469","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","16471","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","26356","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","26188","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","26200","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","26196","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","26195","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","26194","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
"Mammals","26222","CLETHRIONOMYS","Clethrionomys","Muridae; Cricetidae","Arvicolidae","ITIS"
